 ,Issuer,Cum,QDI,Sector,"Fix/
Float",Type,Ticker,Coupon  Percent,Current Price,Change,Current Yield,Ann Yield to Worst ,IG,S&P Rating,Moody Rating,Quarterly Int / Div,1st Call,Maturity Date,Pay Dates,,All
,American Financial Group,No,No,Insurance,Fix,BB,AFGB,5.875%,$21.71,$0.02,6.77%,13.16%,Y,BBB-,Baa2,$0.37,3/30/2024,3/30/2059,"30th 3,6,9,12",-1.78,All
,American Financial Group,No,No,Insurance,Fix,BB,AFGC,5.125%,$19.18,-$0.10,6.68%,23.28%,Y,BBB-,Baa2,$0.32,12/15/2024,12/15/2059,"15th 3,6,9,12",-1.07,All
,American Financial Group,No,No,Insurance,Fix,BB,AFGD,5.625%,$21.03,$0.05,6.69%,-19.42%,Y,BBB-,Baa2,$0.35,6/1/2025,6/1/2050,"1st 3,6,9,12",-0.61,All
,American Financial Group,No,No,Insurance,Fix,BB,AFGE,4.500%,$17.18,$0.06,6.54%,-91.88%,Y,BBB-,Baa2,$0.28,9/15/2025,9/15/2060,"15th 3,6,9,12",-0.32,All
,American Homes 4 Rent,Yes,No,eREIT,Fix,Trad,AMH-H,6.250%,$23.69,-$0.13,6.60%,5.24%,Y,BB+,Baa3,$0.39,9/19/2023,NONE,"LD 3,6,9,12",-2.31,All
,American Homes 4 Rent,Yes,No,eREIT,Fix,Trad,AMH-G,5.875%,$22.90,-$0.16,6.41%,8.40%,Y,BB+,Baa3,$0.37,7/17/2022,NONE,"LD 3,6,9,12",-3.48,All
,American International Group,No,Yes,Insurance,Fix,Trad,AIG-A,5.850%,Redeem,Redeem,Redeem,Redeem,Y,BBB-,Baa3,$0.37,3/15/2024,NONE,"15th 3,6,9,12",-1.82,All
,American National Group,No,Yes,Insurance,Fix,Trad,ANG-D,7.375%,$25.00,$0.02,7.38%,0.00%,N,BB+,NR,$0.46,1/15/2030,None,"15th 1,4,7,10",4.02,All
,American National Group,No,Yes,Insurance,FRR,Trad,ANG-A,5.950%,Redeem,Redeem,Redeem,#VALUE!,N,BB+,NR,$0.37,12/1/2024,NONE,"1st 3,6,9,12",-1.11,All
,American National Group,No,Yes,Insurance,FRR,Trad,ANG-B,6.625%,Redeem,Redeem,Redeem,#VALUE!,N,BB+,NR,$0.41,9/1/2025,NONE,"1st 3,6,9,12",-0.36,All
,AMMO Inc,Yes,Var,Other,Fix,Trad,POWWP,8.750%,$24.25,$0.14,9.07%,17.56%,N,NR,NR,$0.55,5/18/2026,NONE,"15th 3,6,9,12",0.35,All
,AmTrust Financial Services,No,Yes,Insurance,Fix,Trad,AFSIA,6.750%,$13.20,$0.00,12.78%,47.20%,N,NR,NR,$0.42,6/10/2018,NONE,"15th 3,6,9,12",-7.59,All
,AmTrust Financial Services,No,Yes,Insurance,Fix,Trad,AFSIN,6.950%,$13.45,-$0.01,12.92%,46.20%,N,NR,NR,$0.43,9/27/2021,NONE,"15th 3,6,9,12",-4.29,All
,AmTrust Financial Services,No,Yes,Insurance,Fix,Trad,AFSIC,7.625%,$14.57,$0.15,13.08%,41.72%,N,NR,NR,$0.48,9/16/2019,NONE,"15th 3,6,9,12",-6.32,All
,AmTrust Financial Services,No,Yes,Insurance,Fix,Trad,AFSIB,7.250%,$13.75,-$0.25,13.18%,45.00%,N,NR,NR,$0.45,7/1/2019,NONE,"15th 3,6,9,12",-6.53,All
,AmTrust Financial Services,No,Yes,Insurance,Fix,Trad,AFSIP,7.500%,$14.30,$0.06,13.11%,42.80%,N,NR,NR,$0.47,3/19/2020,NONE,"15th 3,6,9,12",-5.81,All
,AmTrust Financial Services,No,Yes,Insurance,Fix,Trad,AFSIM,7.750%,$14.55,$0.18,13.32%,41.80%,N,NR,NR,$0.48,3/15/2021,NONE,"15th 3,6,9,12",-4.82,All
,Angel Oak Mortgage REIT,No,No,mREIT,Fix,BB,AOMN,9.500%,$25.71,$0.10,9.24%,4.11%,N,NR,NR,$0.59,7/30/2026,7/30/2029,"30th 1,4,7,10",0.55,All
,Angel Oak Mortgage REIT,No,No,mREIT,Fix,BB,AOMD,9.750%,$25.55,-$0.06,9.53%,#DIV/0!,N,NR,NR,0.609,6/1/2027,6/1/2030,"1st 3,6,9,12",,All
,Annaly Capital Management,Yes,No,mREIT,Fix-Float,Trad,NLY-F,6.950%,$25.70,$0.04,Float,Float,N,NR,NR,Float,9/30/2022,NONE,"LD 3,6,9,12",-3.28,All
,Annaly Capital Management,Yes,No,mREIT,Fix-Float,Trad,NLY-I,6.750%,$25.58,$0.00,Float,Float,N,NR,NR,Float,6/30/2024,NONE,"LD 3,6,9,12",-1.53,All
,Annaly Capital Management,Yes,No,mREIT,Fix-Float,Trad,NLY-G,6.500%,$25.23,$0.10,Float,Float,N,NR,NR,Float,3/31/2023,NONE,"LD 3,6,9,12",-2.78,All
,Annaly Capital Management,Yes,No,mREIT,Fix,Trad,NLY-J,8.875%,$26.21,-$0.06,8.47%,#DIV/0!,N,NR,NR,0.555,9/30/2030,NONE,"LD 3,6,9,12",,All
,Apollo Global Management,No,No,Asset Mgr,FRR,BB,APOS,7.625%,$26.33,$0.15,7.29%,5.48%,Y,BBB,A3,$0.48,12/15/2028,9/15/2053,"15th 3,6,9,12",2.93,All
,Applied UV,Yes,Yes,Other,Fix,Trad,AUVIP,10.500%,BK,BK,BK,BK,N,NR,NR,$0.66,7/16/2022,NONE,1th Month,-3.49,All
,Arbor Realty Trust,Yes,No,mREIT,Fix,Trad,ABR-D,6.375%,$17.84,$0.11,8.97%,81.56%,N,NR,NR,$0.40,6/2/2026,NONE,"30th 1,4,7,10",0.39,All
,Arbor Realty Trust,Yes,No,mREIT,Fix,Trad,ABR-E,6.250%,$17.57,$0.16,8.90%,59.59%,N,NR,NR,$0.39,8/11/2026,NONE,"30th 1,4,7,10",0.59,All
,Arbor Realty Trust,Yes,No,mREIT,Fix-Float,Trad,ABR-F,6.250%,$21.98,-$0.04,7.12%,22.11%,N,NR,NR,$0.39,10/30/2026,NONE,"30th 1,4,7,10",0.81,All
,Arch Capital,No,Yes,Insurance,Fix,Trad,ACGLO,5.450%,$20.47,-$0.05,6.66%,18.12%,Y,BBB,Baa3,$0.34,8/17/2022,NONE,"LD 3,6,9,12",-3.40,All
,Arch Capital,No,Yes,Insurance,Fix,Trad,ACGLN,4.550%,$17.04,$0.06,6.57%,82.53%,Y,BBB,NR,$0.28,6/11/2026,NONE,"LD 3,6,9,12",0.42,All
,Argo Group,No,Yes,Insurance,Fix,BB,ARGD,6.500%,Redeem,Redeem,Redeem,#VALUE!,Y,BBB-,NR,$0.41,9/15/2017,9/15/2042,"15th 3,6,9,12",-8.32,All
,Argo Group,No,Yes,Insurance,FRR,Trad,ARGO-A,7.000%,Redeem,Redeem,Redeem,#VALUE!,Y,BB,NR,$0.44,9/15/2025,NONE,"15th 3,6,9,12",-0.32,All
,Arlington Asset Investment  ,No,No,mREIT,Fix,BB,AIC,6.750%,Delist,Delist,Delist,Delist,N,NR,NR,$0.42,3/15/2018,3/15/2025,"15th 3,6,9,12",-7.83,All
,Arlington Asset Investment  ,No,No,mREIT,Fix,BB,AAIN,6.000%,Delist,Delist,Delist,Delist,N,NR,NR,$0.38,8/1/2023,8/1/2026,"1st 2,5,8,11",-2.44,All
,Armada Hoffler,Yes,No,eREIT,Fix,Trad,AHH-A,6.750%,$21.11,$0.19,8.00%,-1.97%,N,NR,NR,$0.42,6/18/2024,NONE,"15th 1,4,7,10",-1.56,All
,Armour Residential REIT,Yes,No,mREIT,Fix,Trad,ARR-C,7.000%,$21.00,$0.04,8.33%,16.00%,N,NR,NR,$0.15,1/28/2025,NONE,27th Month,-0.95,All
,Ashford Hospitality Trust,Yes,No,Hotel REIT,Fix,Trad,AHT-D,8.450%,$20.00,$0.77,10.56%,20.00%,N,NR,NR,$0.53,7/18/2012,NONE,"15th 1,4,7,10",,All
,Ashford Hospitality Trust,Yes,No,Hotel REIT,Fix,Trad,AHT-G,7.375%,$14.09,$0.00,13.09%,43.64%,N,NR,NR,$0.46,10/17/2021,NONE,"15th 1,4,7,10",,All
,Ashford Hospitality Trust,Yes,No,Hotel REIT,Fix,Trad,AHT-H,7.500%,$14.27,$0.10,13.14%,42.92%,N,NR,NR,$0.47,8/25/2022,NONE,"15th 1,4,7,10",,All
,Ashford Hospitality Trust,Yes,No,Hotel REIT,Fix,Trad,AHT-I,7.500%,$13.99,-$0.01,13.40%,44.04%,N,NR,NR,$0.47,11/25/2022,NONE,"15th 1,4,7,10",,All
,Ashford Hospitality Trust,Yes,No,Hotel REIT,Fix,Trad,AHT-F,7.375%,$13.91,-$0.14,13.25%,44.36%,N,NR,NR,$0.46,7/15/2021,NONE,"15th 1,4,7,10",,All
,Aspen Insurance Holdings,No,Yes,Insurance,Fix,Trad,AHL-D,5.625%,$19.84,$0.00,7.09%,28.19%,N,BB+,Ba1,$0.35,1/1/2027,NONE,"1st 1,4,7,10",0.98,All
,Aspen Insurance Holdings,No,Yes,Insurance,Fix,Trad,AHL-E,5.625%,$19.82,-$0.15,7.10%,-9.16%,N,BB+,Ba1,$0.35,10/1/2024,NONE,"1st 1,4,7,10",-1.27,All
,Aspen Insurance Holdings,No,Yes,Insurance,Fix,Trad ,AHL-F,7.000%,$24.73,$0.03,7.08%,7.35%,N,BB+,Ba1,$0.44,11/30/2029,NONE,"1st 1,4,7,10",3.89,All
,Aspen Insurance Holdings,No,Yes,Insurance,Fix-Float,Trad,AHL-C,5.950%,Redeem,Redeem,Redeem,Redeem,N,BB+,Ba1,Float,7/1/2023,NONE,"1st 1,4,7,10",-2.53,All
,Associated Banc-Corp,No,Yes,Bank,Fix,Trad,ASB-E,5.875%,$21.37,-$0.01,6.87%,14.52%,N,BB,Ba1,$0.37,12/15/2023,NONE,"15th 3,6,9,12",-2.07,All
,Associated Banc-Corp,No,Yes,Bank,Fix,Trad,ASB-F,5.625%,$20.66,$0.05,6.81%,-47.82%,N,BB,Ba1,$0.35,9/15/2025,NONE,"15th 3,6,9,12",-0.32,All
,Associated Banc-Corp,No,No,Bank,Fix-Float,BB,ASBA,6.625%,No Quote,#N/A,#VALUE!,,Y,BBB-,Baa3,$0.41,3/1/2028,3/1/2033,"1st 3,6,9,12",,All
,Assurant Inc,No,No,Insurance,Fix,BB,AIZN,5.250%,$19.73,-$0.11,6.69%,1289.06%,Y,BB+,Ba1,$0.33,1/15/2026,1/15/2061,"15th 1,4,7,10",0.02,All
,AT&T,No,No,Telecom,Fix,BB,TBC,5.625%,Redeem,Redeem,Redeem,Redeem,Y,BBB,Baa2,$0.35,8/1/2023,8/1/2067,"1st 2,5,8,11",-2.44,All
,AT&T,No,No,Telecom,Fix,BB,TBB,5.350%,$22.60,$0.04,5.84%,9.60%,Y,BBB,Baa2,$0.33,11/1/2022,11/1/2066,"1st 2,5,8,11",-3.19,All
,AT&T,Yes,Yes,Telecom,Fix,Trad,T-A,5.000%,$20.62,$0.08,6.06%,17.52%,N,BB+,Ba1,$0.31,12/12/2024,NONE,"1st 2,5,8,11",-1.08,All
,AT&T,Yes,Yes,Telecom,Fix,Trad,T-C,4.750%,$19.46,$0.04,6.10%,-18.79%,N,BB+,Ba1,$0.30,2/18/2025,NONE,"1st 2,5,8,11",-0.89,All
,Athene Holding LTD,No,Yes,Insurance,Fix,Trad,ATH-B,5.625%,$20.10,$0.03,7.00%,-8.35%,Y,BBB,Baa3,$0.35,9/30/2024,NONE,"30th 3,6,9,12",-1.28,All
,Athene Holding LTD,No,Yes,Insurance,Fix,Trad,ATH-D,4.875%,$17.10,-$0.07,7.12%,-1146.28%,Y,BBB,Baa3,$0.30,12/30/2025,NONE,"30th 3,6,9,12",-0.03,All
,Athene Holding LTD,No,Yes,Insurance,Fix-Float,Trad,ATH-A,6.350%,$24.82,-$0.11,6.40%,6.61%,Y,BBB,Baa3,$0.40,6/30/2029,NONE,"30th 3,6,9,12",3.47,All
,Athene Holding LTD,No,Yes,Insurance,FRR,Trad,ATH-C,6.375%,Redeem,Redeem,Redeem,#VALUE!,Y,BBB,Baa3,$0.40,9/30/2025,NONE,"30th 3,6,9,12",-0.28,All
,Athene Holding LTD,No,Yes,Insurance,FRR,Trad,ATH-E,7.750%,$25.65,-$0.07,7.55%,6.24%,Y,BBB,Baa3,$0.48,12/31/2027,NONE,"30th 3,6,9,12",1.98,All
,Athene Holding LTD,No,No,Insurance,FRR,BB,ATHS,7.250%,$25.11,$0.05,7.22%,7.08%,Y,BBB,Baa2,$0.45,3/30/2029,3/30/2064,"30th 3,6,9,12",3.22,All
,Atlantic Union Bancshares,No,Yes,Bank,Fix,Trad,AUB-A,6.875%,$24.34,-$0.01,7.07%,-0.35%,N,NR,NR,$0.43,9/1/2025,NONE,"1st 3,6,9,12",-0.36,All
,Atlanticus Holdings,Yes,Yes,Finance,Fix,Trad,ATLCP,7.625%,$24.25,$0.00,7.92%,15.07%,N,NR,NR,$0.48,6/11/2026,NONE,"15th 3,6,9,12",0.42,All
,Atlanticus Holdings,No,No,Finance,Fix,BB,ATLCL,6.125%,$24.79,$0.01,6.13%,7.28%,N,NR,NR,$0.38,10/2/2026,12/31/2026,"LD 3,6,9,12",0.73,All
,Atlanticus Holdings,No,No,Finance,Fix,BB,ATLCZ,9.250%,$25.53,-$0.01,9.09%,8.06%,N,NR,NR,$0.58,1/31/2028,1/31/2029,"15th 1,4,7,10",2.06,All
,Atlas Corp,Yes,Yes,Shipping,Fix,Trad,ATCO-D,7.950%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.50,1/30/2018,NONE,"30th 1,4,7,10",-7.95,All
,Atlas Corp,Yes,Yes,Shipping,Fix,Trad,ATCO-H,7.875%,$25.62,$0.12,7.65%,-2.48%,N,NR,NR,$0.49,8/11/2021,NONE,"30th 1,4,7,10",-4.42,All
,Atlas Corp,No,No,Shipping,Fix,BB,ATCOL,7.125%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.45,5/13/2023,10/30/2027,"30th 1,4,7,10",-2.66,All
,Axis Capital Holdings,No,Yes,Insurance,Fix,Trad,AXS-E,5.500%,$19.98,-$0.11,6.81%,20.08%,Y,BBB,Baa3,$0.34,11/7/2021,NONE,"15th 1,4,7,10",-4.18,All
,B Riley Financial,Yes,Yes,Finance,Fix,Trad,RILYL,7.375%,$7.95,$0.64,23.14%,-172.86%,N,NR,NR,$0.46,9/4/2025,NONE,"LD 1,4,7,10",-0.35,All
,B Riley Financial,No,No,Finance,Fix,BB,RILYZ,5.250%,$14.10,$0.65,9.36%,43.60%,N,NR,NR,$0.33,8/31/2023,8/31/2028,"LD 1,4,7,10",-2.36,All
,B Riley Financial,No,No,Finance,Fix,BB,RILYG,5.000%,$20.90,$0.01,5.98%,28.48%,N,NR,NR,$0.31,10/2/2026,12/31/2026,"LD 1,4,7,10",0.73,All
,B. Riley Financial,Yes,Yes,Finance,Fix,Trad,RILYP,6.875%,$7.31,$0.29,Susp,70.76%,N,NR,NR,Susp,10/7/2024,NONE,"LD 1,4,7,10",-1.26,All
,B. Riley Financial,No,No,Finance,Fix,BB,RILYN,6.500%,$23.13,$0.58,7.03%,7.48%,N,NR,NR,$0.41,9/30/2022,9/30/2026,"LD 1,4,7,10",-3.28,All
,B. Riley Financial,No,No,Finance,Fix,BB,RILYO,6.750%,Redeem,Redeem,Redeem,Redeem,N,NR,NR,$0.42,5/31/2021,5/31/2024,"LD 1,4,7,10",-4.61,All
,B. Riley Financial,No,No,Finance,Fix,BB,RILYM,6.375%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.40,2/28/2021,2/28/2025,"LD 1,4,7,10",-4.87,All
,B. Riley Financial,No,No,Finance,Fix,BB,RILYT,6.000%,$15.99,$0.28,9.38%,36.04%,N,NR,NR,$0.38,1/31/2022,1/31/2028,"LD 1,4,7,10",-3.94,All
,B. Riley Financial,No,No,Finance,Fix,BB,RILYK,5.500%,$24.70,-$0.02,5.51%,-49.24%,N,NR,NR,$0.34,1/1/2026,3/31/2026,"LD 1,4,7,10",-0.02,All
,Babcock and Wilcox,Yes,Yes,Other,Fix,Trad,BW-A,7.750%,$20.55,-$0.42,9.42%,64.48%,N,NR,NR,$0.48,5/7/2026,NONE,"LD 3,6,9,12",0.32,All
,Babcock and Wilcox,No,No,Other,Fix,BB,BWSN,8.125%,Redeem,Redeem,Redeem,#VALUE!,N,NR,NR,$0.51,2/28/2022,2/28/2026,"LD 1,4,7,10",-3.87,All
,Babcock and Wilcox,N0,No,Other,Fix,BB,BWNB,6.500%,$24.64,$0.11,6.59%,8.57%,N,NR,NR,$0.41,10/2/2026,12/31/2026,"LD 3,6,9,12",0.73,All
,Banc of California (Pacwest),No,Yes,Bank,FRR,Trad,BANC-F,7.750%,$25.14,NA,7.64%,7.30%,N,NR,NR,$0.48,9/1/2027,NONE,"1st 3,6,9,12",1.64,All
,Bancroft Fund Ltd,Yes,Var,CEF,Fix,Trad,BCV-A,5.385%,$21.77,$0.01,6.18%,12.92%,Y,NR,A1,$0.34,8/9/2021,NONE,"26th 3,6,9,12",-4.42,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-B,6.000%,$25.28,-$0.04,5.93%,6.37%,Y,BBB-,Baa3,$0.38,6/16/2023,NONE,"16th 2,5,8,11",-2.57,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-M,5.375%,$22.26,-$0.03,6.04%,-1.07%,Y,BBB-,Baa3,$0.34,6/25/2024,NONE,"25th 3,6,9,12",-1.54,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-N,5.000%,$20.87,-$0.04,5.99%,-6.60%,Y,BBB-,Baa3,$0.31,9/17/2024,NONE,"17th 3,6,9,12",-1.31,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-O,4.385%,$18.24,$0.02,5.92%,-141.39%,Y,BBB-,Baa3,$0.27,11/3/2025,NONE,"3rd 2,5,8,11",-0.18,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-P,4.125%,$17.23,-$0.03,5.98%,478.66%,Y,BBB-,Baa3,$0.26,2/2/2026,NONE,"2nd 2,5,8,11",0.07,All
 ,Bank of America,No,Yes,Bank,Fix,Trad,BAC-Q,4.250%,$17.69,$0.02,6.11%,40.31%,Y,BBB-,Baa3,$0.27,11/17/2026,NONE,"17th 2,5,8,11",0.85,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-S,4.750%,$19.79,-$0.09,6.06%,24.89%,Y,BBB-,Baa3,$0.30,2/17/2027,NONE,"17th 2,5,8,11",1.11,All
,Bank of America,No,Yes,Bank,Fix,Trad,BAC-K,5.875%,$24.72,-$0.02,5.94%,1.12%,Y,BBB-,Baa3,$0.37,7/24/2023,NONE,"24th 1,4,7,10",-2.47,All
,Bank of America,No,Yes,Bank,FLR,Trad,BML-J,4.000%,$20.34,$0.09,Float,Float,Y,BBB-,Baa3,Float,11/21/2010,NONE,"28th 2,5,8,11",-15.15,All
,Bank of America,No,Yes,Bank,FLR,Trad,BAC-E,4.000%,$19.82,$0.34,Float,Float,Y,BBB-,Baa3,Float,11/15/2011,NONE,"15th  2,5,8,11",-14.16,All
,Bank of America,No,Yes,Bank,FLR,Trad,BML-L,4.000%,$19.70,-$0.05,Float,Float,Y,BBB-,Baa3,Float,5/21/2010,NONE,"21st 2,5,8,11",-15.65,All
,Bank of America,No,Yes,Bank,FLR,Trad,BML-G,3.000%,$19.05,-$0.02,Float,23.80%,Y,BBB-,Baa3,Float,11/28/2009,NONE,"28th  2,5,8,11",-16.13,All
,Bank of America,No,Yes,Bank,FLR,Trad,BML-H,3.000%,$19.02,-$0.05,Float,23.92%,Y,BBB-,Baa3,Float,11/28/2009,NONE,"28th  2,5,8,11",-16.13,All
,Bank of America Capital Trust,Yes,No,Bank,Fix,Trust P,MER-K,6.450%,$25.58,$0.11,6.30%,-2.32%,N,BB+,Ba1,$0.40,12/15/2011,12/15/2066,"15th 3,6,9,12",-14.08,All
